município,mês,Quantidade
Município ignorado - GO,January de 2021,0.0
Município ignorado - GO,February de 2021,0.0
Município ignorado - GO,March de 2021,0.0
Município ignorado - GO,April de 2021,0.0
Município ignorado - GO,May de 2021,0.0
Município ignorado - GO,June de 2021,0.0
Município ignorado - GO,July de 2021,0.0
Município ignorado - GO,August de 2021,0.0
Município ignorado - GO,September de 2021,0.0
Município ignorado - GO,October de 2021,0.0
Município ignorado - GO,November de 2021,0.0
Município ignorado - GO,December de 2021,0.0
Município ignorado - GO,January de 2022,0.0
Município ignorado - GO,February de 2022,0.0
Município ignorado - GO,March de 2022,0.0
Município ignorado - GO,April de 2022,0.0
Município ignorado - GO,May de 2022,0.0
Município ignorado - GO,June de 2022,0.0
Município ignorado - GO,July de 2022,0.0
Município ignorado - GO,August de 2022,0.0
Município ignorado - GO,September de 2022,0.0
Município ignorado - GO,October de 2022,0.0
Município ignorado - GO,November de 2022,0.0
Município ignorado - GO,December de 2022,0.0
Município ignorado - GO,January de 2023,0.0
Município ignorado - GO,February de 2023,0.0
Município ignorado - GO,March de 2023,0.0
Município ignorado - GO,April de 2023,0.0
Município ignorado - GO,May de 2023,0.0
Município ignorado - GO,June de 2023,0.0
Município ignorado - GO,July de 2023,0.0
Município ignorado - GO,August de 2023,0.0
Município ignorado - GO,September de 2023,0.0
Município ignorado - GO,October de 2023,0.0
Município ignorado - GO,November de 2023,0.0
Município ignorado - GO,December de 2023,0.0
Município ignorado - GO,January de 2024,0.0
Município ignorado - GO,February de 2024,0.0
Município ignorado - GO,March de 2024,0.0
Município ignorado - GO,April de 2024,0.0
Município ignorado - GO,May de 2024,0.0
Município ignorado - GO,June de 2024,0.0
Município ignorado - GO,July de 2024,0.0
Município ignorado - GO,August de 2024,0.0
Município ignorado - GO,September de 2024,0.0
Município ignorado - GO,October de 2024,0.0
Abadia de Goiás,January de 2021,0.0
Abadia de Goiás,February de 2021,0.0
Abadia de Goiás,March de 2021,0.0
Abadia de Goiás,April de 2021,0.0
Abadia de Goiás,May de 2021,0.0
Abadia de Goiás,June de 2021,0.0
Abadia de Goiás,July de 2021,0.0
Abadia de Goiás,August de 2021,0.0
Abadia de Goiás,September de 2021,0.0
Abadia de Goiás,October de 2021,0.0
Abadia de Goiás,November de 2021,1.0
Abadia de Goiás,December de 2021,0.0
Abadia de Goiás,January de 2022,0.0
Abadia de Goiás,February de 2022,0.0
Abadia de Goiás,March de 2022,0.0
Abadia de Goiás,April de 2022,0.0
Abadia de Goiás,May de 2022,0.0
Abadia de Goiás,June de 2022,0.0
Abadia de Goiás,July de 2022,0.0
Abadia de Goiás,August de 2022,1.0
Abadia de Goiás,September de 2022,0.0
Abadia de Goiás,October de 2022,0.0
Abadia de Goiás,November de 2022,0.0
Abadia de Goiás,December de 2022,0.0
Abadia de Goiás,January de 2023,0.0
Abadia de Goiás,February de 2023,0.0
Abadia de Goiás,March de 2023,0.0
Abadia de Goiás,April de 2023,0.0
Abadia de Goiás,May de 2023,1.0
Abadia de Goiás,June de 2023,0.0
Abadia de Goiás,July de 2023,0.0
Abadia de Goiás,August de 2023,0.0
Abadia de Goiás,September de 2023,3.0
Abadia de Goiás,October de 2023,1.0
Abadia de Goiás,November de 2023,1.0
Abadia de Goiás,December de 2023,0.0
Abadia de Goiás,January de 2024,0.0
Abadia de Goiás,February de 2024,1.0
Abadia de Goiás,March de 2024,0.0
Abadia de Goiás,April de 2024,0.0
Abadia de Goiás,May de 2024,0.0
Abadia de Goiás,June de 2024,0.0
Abadia de Goiás,July de 2024,0.0
Abadia de Goiás,August de 2024,0.0
Abadia de Goiás,September de 2024,0.0
Abadia de Goiás,October de 2024,0.0
Abadiânia,January de 2021,0.0
Abadiânia,February de 2021,0.0
Abadiânia,March de 2021,0.0
Abadiânia,April de 2021,0.0
Abadiânia,May de 2021,0.0
Abadiânia,June de 2021,0.0
Abadiânia,July de 2021,0.0
Abadiânia,August de 2021,0.0
Abadiânia,September de 2021,1.0
Abadiânia,October de 2021,0.0
Abadiânia,November de 2021,0.0
Abadiânia,December de 2021,0.0
Abadiânia,January de 2022,0.0
Abadiânia,February de 2022,0.0
Abadiânia,March de 2022,1.0
Abadiânia,April de 2022,3.0
Abadiânia,May de 2022,1.0
Abadiânia,June de 2022,2.0
Abadiânia,July de 2022,2.0
Abadiânia,August de 2022,1.0
Abadiânia,September de 2022,0.0
Abadiânia,October de 2022,0.0
Abadiânia,November de 2022,1.0
Abadiânia,December de 2022,0.0
Abadiânia,January de 2023,0.0
Abadiânia,February de 2023,0.0
Abadiânia,March de 2023,0.0
Abadiânia,April de 2023,0.0
Abadiânia,May de 2023,1.0
Abadiânia,June de 2023,0.0
Abadiânia,July de 2023,0.0
Abadiânia,August de 2023,0.0
Abadiânia,September de 2023,0.0
Abadiânia,October de 2023,0.0
Abadiânia,November de 2023,0.0
Abadiânia,December de 2023,0.0
Abadiânia,January de 2024,0.0
Abadiânia,February de 2024,0.0
Abadiânia,March de 2024,0.0
Abadiânia,April de 2024,0.0
Abadiânia,May de 2024,0.0
Abadiânia,June de 2024,0.0
Abadiânia,July de 2024,0.0
Abadiânia,August de 2024,0.0
Abadiânia,September de 2024,0.0
Abadiânia,October de 2024,0.0
Acreúna,January de 2021,1.0
Acreúna,February de 2021,0.0
Acreúna,March de 2021,0.0
Acreúna,April de 2021,0.0
Acreúna,May de 2021,0.0
Acreúna,June de 2021,0.0
Acreúna,July de 2021,0.0
Acreúna,August de 2021,0.0
Acreúna,September de 2021,0.0
Acreúna,October de 2021,0.0
Acreúna,November de 2021,0.0
Acreúna,December de 2021,0.0
Acreúna,January de 2022,0.0
Acreúna,February de 2022,0.0
Acreúna,March de 2022,0.0
Acreúna,April de 2022,1.0
Acreúna,May de 2022,0.0
Acreúna,June de 2022,0.0
Acreúna,July de 2022,0.0
Acreúna,August de 2022,1.0
Acreúna,September de 2022,0.0
Acreúna,October de 2022,0.0
Acreúna,November de 2022,0.0
Acreúna,December de 2022,0.0
Acreúna,January de 2023,1.0
Acreúna,February de 2023,0.0
Acreúna,March de 2023,0.0
Acreúna,April de 2023,0.0
Acreúna,May de 2023,0.0
Acreúna,June de 2023,0.0
Acreúna,July de 2023,0.0
Acreúna,August de 2023,1.0
Acreúna,September de 2023,0.0
Acreúna,October de 2023,0.0
Acreúna,November de 2023,0.0
Acreúna,December de 2023,0.0
Acreúna,January de 2024,0.0
Acreúna,February de 2024,0.0
Acreúna,March de 2024,0.0
Acreúna,April de 2024,0.0
Acreúna,May de 2024,0.0
Acreúna,June de 2024,0.0
Acreúna,July de 2024,0.0
Acreúna,August de 2024,0.0
Acreúna,September de 2024,0.0
Acreúna,October de 2024,0.0
Adelândia,January de 2021,0.0
Adelândia,February de 2021,0.0
Adelândia,March de 2021,0.0
Adelândia,April de 2021,0.0
Adelândia,May de 2021,0.0
Adelândia,June de 2021,0.0
Adelândia,July de 2021,0.0
Adelândia,August de 2021,0.0
Adelândia,September de 2021,0.0
Adelândia,October de 2021,0.0
Adelândia,November de 2021,0.0
Adelândia,December de 2021,1.0
Adelândia,January de 2022,0.0
Adelândia,February de 2022,0.0
Adelândia,March de 2022,0.0
Adelândia,April de 2022,0.0
Adelândia,May de 2022,0.0
Adelândia,June de 2022,0.0
Adelândia,July de 2022,0.0
Adelândia,August de 2022,0.0
Adelândia,September de 2022,0.0
Adelândia,October de 2022,0.0
Adelândia,November de 2022,0.0
Adelândia,December de 2022,0.0
Adelândia,January de 2023,0.0
Adelândia,February de 2023,0.0
Adelândia,March de 2023,0.0
Adelândia,April de 2023,0.0
Adelândia,May de 2023,0.0
Adelândia,June de 2023,0.0
Adelândia,July de 2023,0.0
Adelândia,August de 2023,0.0
Adelândia,September de 2023,0.0
Adelândia,October de 2023,0.0
Adelândia,November de 2023,0.0
Adelândia,December de 2023,0.0
Adelândia,January de 2024,1.0
Adelândia,February de 2024,0.0
Adelândia,March de 2024,0.0
Adelândia,April de 2024,0.0
Adelândia,May de 2024,0.0
Adelândia,June de 2024,0.0
Adelândia,July de 2024,0.0
Adelândia,August de 2024,0.0
Adelândia,September de 2024,0.0
Adelândia,October de 2024,0.0
Água Fria de Goiás,January de 2021,0.0
Água Fria de Goiás,February de 2021,0.0
Água Fria de Goiás,March de 2021,0.0
Água Fria de Goiás,April de 2021,0.0
Água Fria de Goiás,May de 2021,0.0
Água Fria de Goiás,June de 2021,0.0
Água Fria de Goiás,July de 2021,0.0
Água Fria de Goiás,August de 2021,0.0
Água Fria de Goiás,September de 2021,0.0
Água Fria de Goiás,October de 2021,0.0
Água Fria de Goiás,November de 2021,0.0
Água Fria de Goiás,December de 2021,0.0
Água Fria de Goiás,January de 2022,0.0
Água Fria de Goiás,February de 2022,0.0
Água Fria de Goiás,March de 2022,0.0
Água Fria de Goiás,April de 2022,0.0
Água Fria de Goiás,May de 2022,0.0
Água Fria de Goiás,June de 2022,0.0
Água Fria de Goiás,July de 2022,0.0
Água Fria de Goiás,August de 2022,0.0
Água Fria de Goiás,September de 2022,0.0
Água Fria de Goiás,October de 2022,0.0
Água Fria de Goiás,November de 2022,0.0
Água Fria de Goiás,December de 2022,0.0
Água Fria de Goiás,January de 2023,0.0
Água Fria de Goiás,February de 2023,0.0
Água Fria de Goiás,March de 2023,0.0
Água Fria de Goiás,April de 2023,0.0
Água Fria de Goiás,May de 2023,0.0
Água Fria de Goiás,June de 2023,0.0
Água Fria de Goiás,July de 2023,0.0
Água Fria de Goiás,August de 2023,0.0
Água Fria de Goiás,September de 2023,0.0
Água Fria de Goiás,October de 2023,0.0
Água Fria de Goiás,November de 2023,0.0
Água Fria de Goiás,December de 2023,0.0
Água Fria de Goiás,January de 2024,0.0
Água Fria de Goiás,February de 2024,0.0
Água Fria de Goiás,March de 2024,0.0
Água Fria de Goiás,April de 2024,0.0
Água Fria de Goiás,May de 2024,0.0
Água Fria de Goiás,June de 2024,0.0
Água Fria de Goiás,July de 2024,0.0
Água Fria de Goiás,August de 2024,0.0
Água Fria de Goiás,September de 2024,0.0
Água Fria de Goiás,October de 2024,0.0
Água Limpa,January de 2021,0.0
Água Limpa,February de 2021,0.0
Água Limpa,March de 2021,0.0
Água Limpa,April de 2021,0.0
Água Limpa,May de 2021,0.0
Água Limpa,June de 2021,0.0
Água Limpa,July de 2021,0.0
Água Limpa,August de 2021,0.0
Água Limpa,September de 2021,0.0
Água Limpa,October de 2021,0.0
Água Limpa,November de 2021,0.0
Água Limpa,December de 2021,0.0
Água Limpa,January de 2022,0.0
Água Limpa,February de 2022,0.0
Água Limpa,March de 2022,0.0
Água Limpa,April de 2022,0.0
Água Limpa,May de 2022,0.0
Água Limpa,June de 2022,0.0
Água Limpa,July de 2022,0.0
Água Limpa,August de 2022,0.0
Água Limpa,September de 2022,0.0
Água Limpa,October de 2022,0.0
Água Limpa,November de 2022,0.0
Água Limpa,December de 2022,0.0
Água Limpa,January de 2023,0.0
Água Limpa,February de 2023,0.0
Água Limpa,March de 2023,0.0
Água Limpa,April de 2023,0.0
Água Limpa,May de 2023,0.0
Água Limpa,June de 2023,0.0
Água Limpa,July de 2023,0.0
Água Limpa,August de 2023,0.0
Água Limpa,September de 2023,0.0
Água Limpa,October de 2023,0.0
Água Limpa,November de 2023,0.0
Água Limpa,December de 2023,0.0
Água Limpa,January de 2024,0.0
Água Limpa,February de 2024,0.0
Água Limpa,March de 2024,0.0
Água Limpa,April de 2024,0.0
Água Limpa,May de 2024,0.0
Água Limpa,June de 2024,0.0
Água Limpa,July de 2024,0.0
Água Limpa,August de 2024,0.0
Água Limpa,September de 2024,0.0
Água Limpa,October de 2024,0.0
Águas Lindas de Goiás,January de 2021,0.0
Águas Lindas de Goiás,February de 2021,1.0
Águas Lindas de Goiás,March de 2021,2.0
Águas Lindas de Goiás,April de 2021,1.0
Águas Lindas de Goiás,May de 2021,1.0
Águas Lindas de Goiás,June de 2021,2.0
Águas Lindas de Goiás,July de 2021,2.0
Águas Lindas de Goiás,August de 2021,1.0
Águas Lindas de Goiás,September de 2021,1.0
Águas Lindas de Goiás,October de 2021,0.0
Águas Lindas de Goiás,November de 2021,0.0
Águas Lindas de Goiás,December de 2021,2.0
Águas Lindas de Goiás,January de 2022,0.0
Águas Lindas de Goiás,February de 2022,0.0
Águas Lindas de Goiás,March de 2022,2.0
Águas Lindas de Goiás,April de 2022,1.0
Águas Lindas de Goiás,May de 2022,0.0
Águas Lindas de Goiás,June de 2022,1.0
Águas Lindas de Goiás,July de 2022,0.0
Águas Lindas de Goiás,August de 2022,3.0
Águas Lindas de Goiás,September de 2022,2.0
Águas Lindas de Goiás,October de 2022,2.0
Águas Lindas de Goiás,November de 2022,3.0
Águas Lindas de Goiás,December de 2022,1.0
Águas Lindas de Goiás,January de 2023,1.0
Águas Lindas de Goiás,February de 2023,3.0
Águas Lindas de Goiás,March de 2023,2.0
Águas Lindas de Goiás,April de 2023,3.0
Águas Lindas de Goiás,May de 2023,3.0
Águas Lindas de Goiás,June de 2023,0.0
Águas Lindas de Goiás,July de 2023,2.0
Águas Lindas de Goiás,August de 2023,2.0
Águas Lindas de Goiás,September de 2023,0.0
Águas Lindas de Goiás,October de 2023,0.0
Águas Lindas de Goiás,November de 2023,1.0
Águas Lindas de Goiás,December de 2023,2.0
Águas Lindas de Goiás,January de 2024,0.0
Águas Lindas de Goiás,February de 2024,1.0
Águas Lindas de Goiás,March de 2024,1.0
Águas Lindas de Goiás,April de 2024,1.0
Águas Lindas de Goiás,May de 2024,4.0
Águas Lindas de Goiás,June de 2024,1.0
Águas Lindas de Goiás,July de 2024,0.0
Águas Lindas de Goiás,August de 2024,0.0
Águas Lindas de Goiás,September de 2024,0.0
Águas Lindas de Goiás,October de 2024,0.0
Alexânia,January de 2021,0.0
Alexânia,February de 2021,0.0
Alexânia,March de 2021,0.0
Alexânia,April de 2021,0.0
Alexânia,May de 2021,0.0
Alexânia,June de 2021,0.0
Alexânia,July de 2021,0.0
Alexânia,August de 2021,0.0
Alexânia,September de 2021,0.0
Alexânia,October de 2021,0.0
Alexânia,November de 2021,0.0
Alexânia,December de 2021,2.0
Alexânia,January de 2022,0.0
Alexânia,February de 2022,0.0
Alexânia,March de 2022,0.0
Alexânia,April de 2022,0.0
Alexânia,May de 2022,0.0
Alexânia,June de 2022,0.0
Alexânia,July de 2022,0.0
Alexânia,August de 2022,1.0
Alexânia,September de 2022,0.0
Alexânia,October de 2022,0.0
Alexânia,November de 2022,0.0
Alexânia,December de 2022,0.0
Alexânia,January de 2023,1.0
Alexânia,February de 2023,0.0
Alexânia,March de 2023,0.0
Alexânia,April de 2023,0.0
Alexânia,May de 2023,0.0
Alexânia,June de 2023,1.0
Alexânia,July de 2023,1.0
Alexânia,August de 2023,0.0
Alexânia,September de 2023,0.0
Alexânia,October de 2023,1.0
Alexânia,November de 2023,0.0
Alexânia,December de 2023,0.0
Alexânia,January de 2024,0.0
Alexânia,February de 2024,1.0
Alexânia,March de 2024,1.0
Alexânia,April de 2024,0.0
Alexânia,May de 2024,1.0
Alexânia,June de 2024,0.0
Alexânia,July de 2024,0.0
Alexânia,August de 2024,0.0
Alexânia,September de 2024,0.0
Alexânia,October de 2024,0.0
Aloândia,January de 2021,0.0
Aloândia,February de 2021,0.0
Aloândia,March de 2021,0.0
Aloândia,April de 2021,0.0
Aloândia,May de 2021,0.0
Aloândia,June de 2021,0.0
Aloândia,July de 2021,0.0
Aloândia,August de 2021,0.0
Aloândia,September de 2021,0.0
Aloândia,October de 2021,0.0
Aloândia,November de 2021,0.0
Aloândia,December de 2021,0.0
Aloândia,January de 2022,0.0
Aloândia,February de 2022,0.0
Aloândia,March de 2022,0.0
Aloândia,April de 2022,0.0
Aloândia,May de 2022,0.0
Aloândia,June de 2022,0.0
Aloândia,July de 2022,0.0
Aloândia,August de 2022,0.0
Aloândia,September de 2022,0.0
Aloândia,October de 2022,0.0
Aloândia,November de 2022,0.0
Aloândia,December de 2022,0.0
Aloândia,January de 2023,0.0
Aloândia,February de 2023,0.0
Aloândia,March de 2023,0.0
Aloândia,April de 2023,0.0
Aloândia,May de 2023,0.0
Aloândia,June de 2023,0.0
Aloândia,July de 2023,0.0
Aloândia,August de 2023,0.0
Aloândia,September de 2023,0.0
Aloândia,October de 2023,0.0
Aloândia,November de 2023,0.0
Aloândia,December de 2023,0.0
Aloândia,January de 2024,0.0
Aloândia,February de 2024,0.0
Aloândia,March de 2024,0.0
Aloândia,April de 2024,0.0
Aloândia,May de 2024,0.0
Aloândia,June de 2024,0.0
Aloândia,July de 2024,0.0
Aloândia,August de 2024,0.0
Aloândia,September de 2024,0.0
Aloândia,October de 2024,0.0
Alto Horizonte,January de 2021,0.0
